,tweet_id,timestamp,text,single_dog,name,stage_count,stage(s),average,favorite_count,retweet_count,jpg_url,breed,gender,RT/Like,average_cate,dog?
0,892420643555336193,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,True,Phineas,0,Not Specified,13.0,39492,8842,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,orange,Male,0.2238934467740302,high,not dog
1,892177421306343426,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",True,Tilly,0,Not Specified,13.0,33786,6480,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,Female,0.19179541822056473,high,definitly dog
2,891815181378084864,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,True,Archie,0,Not Specified,12.0,25445,4301,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,Male,0.16903124385930438,high,definitly dog
3,891689557279858688,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,True,Darla,0,Not Specified,13.0,42863,8925,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper_towel,Female,0.2082215430557824,high,possibly dog
4,891327558926688256,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",True,Franklin,0,Not Specified,12.0,41016,9721,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,Male,0.23700507119173006,high,definitly dog
5,891087950875897856,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,True,NaN,0,Not Specified,13.0,20548,3240,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,Unknown,0.15767957952112127,high,possibly dog
6,890971913173991426,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",True,Jax,0,Not Specified,13.0,12053,2142,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,Male,0.1777150916784203,high,possibly dog
7,890729181411237888,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,True,NaN,0,Not Specified,13.0,66596,19548,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,Unknown,0.2935311430115923,high,definitly dog
8,890609185150312448,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,True,Zoey,0,Not Specified,13.0,28187,4403,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,Female,0.15620676198247418,high,definitly dog
9,890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,True,Cassie,1,doggo,14.0,32467,7684,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,Female,0.23667108140573506,high,definitly dog
